Sensor,gyroscope,gyroscope,gyroscope,gyroscope,accelerometer,accelerometer,accelerometer,accelerometer,rotation_vector,rotation_vector,rotation_vector,rotation_vector,linear_acceleration,linear_acceleration,linear_acceleration,linear_acceleration,gravity,gravity,gravity,gravity
Axis,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w
3581947642605,1.813048,-2.787989,-2.5411994,,0.22266077,1.5610195,-8.520964,,0.5521323,-0.77585256,-0.24284296,0.18501401,0.037076816,-4.137871,-0.5423269,,0.18558395,5.69889,-7.9786367,
3581963927489,1.9614882,-2.7983737,-2.4355197,,-2.3343468,0.107739076,-9.619903,,0.5678871,-0.76981974,-0.24682446,0.15478878,-1.9222914,-5.34305,-1.4780645,,-0.41205534,5.450789,-8.141838,
3581980303758,1.9779817,-2.7531698,-2.1007655,,-4.9176903,-0.90500826,-10.972627,,0.5822104,-0.7637155,-0.24970855,0.12415848,-3.926019,-6.0631623,-2.6912966,,-0.9916714,5.158154,-8.28133,
3582004755528,1.7104226,-2.4648414,-1.2730432,,-8.848969,-2.5905263,-12.181698,,0.600017,-0.7550845,-0.25169605,0.08047365,-7.078722,-7.265108,-3.744585,,-1.7702477,4.674582,-8.437113,
3582029299681,1.4752395,-2.1300871,-0.16920967,,-11.9853735,-4.4460325,-12.555194,,0.60886526,-0.75007546,-0.25406966,0.046027403,-9.62844,-8.733419,-4.056161,,-2.3569334,4.287387,-8.499033,
3582045584566,1.4306464,-2.1154263,0.6780604,,-14.381969,-6.021417,-12.545617,,0.60829103,-0.75097394,-0.255492,0.027276166,-11.735551,-10.109999,-4.03384,,-2.6464188,4.088582,-8.511777,
3582070129950,2.0409007,-2.888171,2.062892,,-20.523096,-9.483433,-13.160927,,-0.59666884,0.75997066,0.25774136,0.00040148504,-17.500856,-13.320507,-4.6572056,,-3.0222402,3.8370738,-8.503721,
3582086412373,2.6462681,-3.8240163,3.2974505,,-24.212563,-11.939884,-14.884752,,-0.57864225,0.77289504,0.25927165,0.024181213,-20.903503,-15.595755,-6.4080095,,-3.3090594,3.6558702,-8.476743,
3582102787719,3.2760704,-4.9754972,4.854546,,-26.362555,-14.188039,-16.924612,,-0.54953444,0.79158956,0.26164505,0.054220103,-22.700691,-17.665863,-8.51831,,-3.6618626,3.477824,-8.406302,
3582127248566,3.7879753,-6.3432245,6.7714415,,-21.622036,-17.221493,-20.089746,,-0.4788025,0.82853216,0.26810834,0.11135828,-17.294659,-20.532566,-11.936156,,-4.3273773,3.3110733,-8.15359,
3582151578989,3.8179078,-6.5417557,7.707287,,-16.005238,-18.179174,-21.353886,,-0.41691166,0.8532297,0.27381462,0.15234587,-12.8592205,-21.460566,-12.781017,,-4.9943686,3.4014223,-7.723794,
3582159914373,3.5717292,-6.0994897,8.557611,,-13.982138,-18.504786,-22.395363,,-0.3446229,0.8756946,0.27908796,0.19106041,-8.814217,-22.00678,-14.832357,,-5.1679215,3.5019944,-7.563005,
3582184457796,2.2785273,-4.514905,9.944886,,-8.070854,-18.02355,-24.806324,,-0.22481446,0.9017308,0.2886617,0.23024917,-2.725875,-22.113546,-17.673752,,-5.3449793,4.0899963,-7.1325717,
3582200742104,1.169807,-3.4293976,10.802541,,-4.5418005,-17.863138,-23.815125,,-0.13982591,0.91259444,0.30101067,0.2387736,0.5575113,-22.5961,-16.903793,,-5.099312,4.7329626,-6.911332,
3582225279565,-0.17531833,-2.4251351,11.388971,,6.495469,-18.828003,-21.739351,,-0.008899083,0.91625476,0.3294782,0.22768894,10.644724,-24.709242,-15.078636,,-4.149255,5.881239,-6.660715,
3582249555334,-1.0629056,-2.262034,10.588738,,19.424158,-14.657303,-19.242199,,0.11366141,0.90069187,0.36620218,0.20428231,22.21655,-21.581863,-12.884258,,-2.792392,6.924561,-6.357941,
3582265885719,-1.7971655,-2.4788911,9.078069,,26.106375,-10.951078,-13.160927,,0.18145096,0.8814028,0.39184806,0.19146805,28.021795,-18.406448,-7.0848174,,-1.9154203,7.4553695,-6.0761094,
3582290381757,-0.76174897,-3.626096,6.649879,,24.844631,-5.8634,-3.8139634,,0.2634678,0.84964913,0.41628498,0.18811688,25.82835,-13.772638,1.8997617,,-0.98371804,7.9092383,-5.713725,
3582298545988,0.032986723,-3.8857138,6.1446934,,25.400085,-4.687847,-4.3622355,,0.2634678,0.84964913,0.41628498,0.18811688,25.82835,-13.772638,1.8997617,,-0.7666795,7.951619,-5.6880927,
3582331208911,1.3732251,-1.5271631,4.4409904,,34.88352,1.3383588,-17.877504,,0.3543558,0.8213241,0.406327,0.1864324,34.320522,-7.6712046,-10.384232,,0.028873043,7.777783,-5.972909,
3582347541142,0.23823744,0.10140363,3.1948252,,33.183636,3.2824504,-12.61026,,0.38871834,0.810375,0.40559685,0.16637881,32.73579,-4.432638,-6.573099,,0.44784433,7.715089,-6.037161,
3582364042795,-0.26328292,0.8900307,1.3707817,,30.772675,2.8538885,-4.3478703,,0.39500472,0.8060562,0.41370147,0.15197322,29.970196,-4.863882,1.6490016,,0.80247974,7.7177706,-5.996872,
3582380373449,0.46609017,0.79351395,-0.00061086525,,29.412767,4.000711,-0.60094464,,0.39032602,0.8075036,0.41989076,0.13883515,28.397104,-3.7123027,5.369667,,1.0156634,7.7130136,-5.9706116,
3582404871064,0.8552113,1.4569136,-1.885741,,23.88695,2.9879637,-2.7030537,,0.36541453,0.8222667,0.41874373,0.12248912,22.861246,-4.643146,3.3702114,,1.0257035,7.6311097,-6.073265,
3582429416218,1.378112,2.9798007,-2.5943446,,17.520767,2.1883004,-1.9488802,,0.31687897,0.8462536,0.4161779,0.101185836,16.613668,-5.348222,4.259855,,0.90709835,7.5365224,-6.208735,
3582445535257,1.6652187,3.5527923,-2.7061331,,16.77617,0.91937345,-3.311181,,0.27754414,0.8640354,0.41263855,0.078368396,15.8580265,-6.5000443,3.0354471,,0.9181445,7.419418,-6.346628,
3582470038295,2.2626448,4.8557677,-3.2919528,,16.156073,-0.10055647,-6.727707,,0.23298883,0.88212126,0.40641987,0.049002845,15.424404,-6.726405,0.939003,,1.0093954,7.2555237,-6.519887,
3582478422064,2.52043,5.421429,-3.9522982,,15.763424,-0.80924016,-7.323863,,0.18209267,0.89926594,0.3974064,0.015203799,14.612269,-7.8728237,-0.6193123,,1.1511543,7.0635834,-6.7045507,
3582502869141,3.0488284,5.5533757,-5.009095,,14.343662,-2.3175871,-8.300697,,-0.09755632,-0.9201043,-0.37777635,0.034293577,13.001953,-9.069428,-1.3162212,,1.3417094,6.7518415,-6.984476,
3582527253641,3.7085629,5.6627207,-5.7311378,,8.367735,-4.4963107,-12.947843,,-0.005304246,-0.93456423,-0.3471603,0.07772693,6.906893,-10.851635,-5.6234827,,1.4608424,6.355324,-7.32436,
3582535249679,3.7085629,5.6627207,-5.7311378,,6.615179,-4.7046065,-14.930242,,-0.005304246,-0.93456423,-0.3471603,0.07772693,5.1069913,-10.906706,-7.4851284,,1.5081879,6.2020993,-7.445113,
3582559964179,3.2986724,5.9015694,-5.4006596,,0.78290397,-4.4603977,-19.804836,,0.12163958,-0.9381105,-0.29540825,0.13374051,-0.9730758,-10.214817,-12.060575,,1.7559798,5.754419,-7.7442617,
3582584420564,2.7861564,5.4061575,-4.6437974,,-2.89459,-3.265691,-21.815966,,0.20662843,-0.92724365,-0.25756738,0.17658736,-5.0622272,-8.665541,-13.922081,,2.1676376,5.3998494,-7.8938847,
3582608752987,2.4397957,4.534453,-4.650517,,-4.381389,-2.0159178,-22.699427,,0.2556011,-0.9159868,-0.23470275,0.20137282,-5.0173216,-7.653796,-14.474033,,2.4411607,5.2260756,-7.9309063,
3582625255717,1.7843374,2.8936687,-4.3487496,,-7.074866,-1.5945383,-23.281218,,0.32138112,-0.8960426,-0.20785986,0.22498018,-9.718534,-6.665668,-15.314724,,2.6436687,5.07113,-7.966494,
3582649755833,0.874759,1.6126842,-3.5020905,,-8.860941,-0.8451532,-21.511902,,0.3718144,-0.8770157,-0.19453272,0.23399703,-11.467333,-5.8977695,-13.521394,,2.606392,5.052616,-7.990508,
3582666086679,0.56199604,1.2473868,-2.883895,,-9.76116,0.07182605,-19.637243,,0.39727274,-0.8658447,-0.19135076,0.23637344,-12.284298,-5.0194883,-11.644573,,2.5231385,5.0913143,-7.9926696,
3582690414256,0.35308012,1.2498302,-2.1771238,,-9.94312,1.5993267,-18.98602,,0.41748652,-0.85604686,-0.1893813,0.23879625,-12.863858,-4.2826905,-11.051502,,2.4586575,5.1350265,-7.9847946,
3582706913486,-0.344528,1.4489723,-1.2003502,,-7.965509,2.5713725,-18.124107,,0.43644732,-0.84473974,-0.18713391,0.2467988,-10.452606,-2.6417274,-10.198933,,2.4870968,5.2131,-7.9251747,
3582723292332,-0.84971356,1.5027285,-0.82711154,,-5.681441,3.1196449,-15.911864,,0.4413189,-0.83914065,-0.18856594,0.25597608,-8.262203,-2.1994903,-8.087738,,2.580762,5.319135,-7.8241262,
3582739577640,-1.1844677,1.4453071,-0.5656612,,-4.223372,3.3925838,-13.318944,,0.44273826,-0.83387536,-0.19253963,0.26751345,-6.9266376,-2.07938,-5.6429796,,2.703266,5.471964,-7.6759644,
3582772068525,-1.169807,1.3396275,-0.036651913,,-2.9400797,4.209007,-10.759542,,0.44029203,-0.82710207,-0.20054618,0.28605327,-6.2939825,-1.7635264,-3.406455,,2.908581,5.723536,-7.412943,
3582788568948,-1.2272283,1.3530666,0.50335294,,-1.3000516,4.709395,-10.989386,,0.4323198,-0.82317877,-0.20658559,0.30462885,-4.466677,-1.2089958,-3.8398733,,3.1666257,5.9183908,-7.1495123,
3582804947063,-1.4709635,1.5607607,0.73364913,,0.2825158,5.303157,-11.180922,,0.42356536,-0.8215125,-0.21040119,0.3184982,-3.1013985,-0.7328758,-4.232117,,3.3839142,6.0360327,-6.9488044,
3582829396678,-2.0476203,2.0201313,0.97433007,,2.231396,5.6910176,-9.991004,,0.40606377,-0.81791574,-0.21783498,0.34449103,-1.5600457,-0.5471101,-3.4426346,,3.7914417,6.2381277,-6.5483694,
3582845777447,-2.3200662,2.198504,1.0537425,,3.3854012,5.602432,-8.425196,,0.39085308,-0.8143077,-0.22500162,0.36539182,-0.725523,-0.792192,-2.2300773,,4.1109242,6.3946238,-6.1951184,
3582870230678,-2.4801128,2.0250182,0.91629785,,5.159505,5.662287,-5.8705826,,0.36802107,-0.8056784,-0.23740675,0.3988495,0.5705075,-0.96815634,-0.2894764,,4.5889974,6.6304436,-5.581106,
3582886614678,-2.370768,1.6762142,0.7483099,,5.638345,5.875371,-4.1060557,,0.3532692,-0.79942745,-0.24718536,0.41834936,0.79156494,-0.89899826,1.0695677,,4.84678,6.7743692,-5.1756234,
3582902900678,-2.1276436,1.2999213,0.6041457,,5.741296,6.1866174,-2.669535,,0.33960098,-0.79389536,-0.2573563,0.43378446,0.7010498,-0.70996,2.147465,,5.040246,6.8965774,-4.817,
3582927447024,-1.5253305,0.66156703,0.40133846,,6.2488666,6.7564373,-1.1468226,,0.32184806,-0.786488,-0.27184662,0.45160824,0.9985595,-0.287745,3.2102628,,5.250307,7.0441823,-4.357085,
3582943731524,-1.1007792,0.43310347,0.2932153,,6.4044895,6.9982514,-0.8451532,,0.31243652,-0.7832757,-0.27981272,0.45887628,1.0696144,-0.11235857,3.295949,,5.334875,7.11061,-4.1411023,
3582968059101,-0.72326446,0.3640757,0.21991149,,6.385336,7.3047094,-1.3814543,,0.30284768,-0.7801621,-0.28754985,0.46577406,0.96627045,0.13812542,2.5484548,,5.4190655,7.166584,-3.929909,
3582984559562,-0.408058,0.2919936,0.084910266,,6.3949127,7.639898,-2.243367,,0.29814115,-0.778836,-0.29096502,0.46889845,0.9336605,0.4533496,1.5905175,,5.461252,7.186548,-3.8338845,
3583000938139,-0.35796702,0.18875736,-0.032375857,,6.4140663,7.7332716,-2.980781,,0.29483652,-0.7775189,-0.29375586,0.4714269,0.92364883,0.52745056,0.7744653,,5.4904175,7.205821,-3.7552464,
3583025394216,-0.34208453,-0.04886922,-0.20830505,,5.8801594,7.66384,-2.5234885,,0.29079288,-0.77588594,-0.29934436,0.47311047,0.38779688,0.4101696,1.1355588,,5.4923625,7.25367,-3.6590474,
