Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
635030696766734,0.60532415,0.267761,0.31626797,0.049151834,0.0061189765,0.05010007
635030860292041,0.53173876,0.47417498,0.70830154,0.026206665,0.0051137493,0.008296152
635031023820348,-0.89670295,0.29653162,-0.2403841,0.039588902,-0.009618829,-0.07698419
635031187321809,0.0664193,0.9395502,-0.37748528,0.04494098,-0.030832743,-0.1667899
635031350771232,-1.2949048,-0.08671552,-0.32985306,0.033950154,-0.039507214,-0.23196322
635031514273462,-2.3589199,-0.3319881,1.3670139,0.019325966,-0.026857745,-0.2867137
635031677756769,-2.5902295,-0.90824395,-0.85165405,0.03525252,-0.003567949,-0.31123623
635031841260345,-0.48043182,0.47210938,1.570715,0.031014845,0.0045465375,-0.2572584
635032004772152,-0.36989367,-0.27090776,-0.17167568,0.053307824,0.0013878727,-0.17708139
635032168271267,0.47731844,-0.31218028,-0.61909103,0.06586292,0.010389001,-0.07541472
635032331765843,0.81102526,0.1279093,-0.14141178,0.06423371,0.016146453,0.0118327495
635032495207997,1.4114995,0.10602081,0.41671562,0.05352463,0.028347135,0.08964636
635032658703342,0.7195385,0.06377149,0.51309013,0.047514305,0.018523183,0.16428594
635032822252264,0.524956,0.09448755,0.2840624,0.028206414,0.03150043,0.2179121
635032985751995,0.7056254,0.09922083,0.8661957,0.001214637,0.03273214,0.2533651
635033149249379,1.0146215,0.4807941,-0.0129003525,0.005968921,0.040323734,0.25408778
635033312740647,0.34802765,-0.3395949,-0.9707737,0.0025833943,0.047491495,0.22944744
635033476258531,0.905192,-0.82012695,-0.42796516,0.0035286485,0.02250032,0.22453138
635033639775684,2.1754863,0.64090836,0.5418215,0.0010817936,0.020058883,0.25400397
635033803282261,0.8977104,0.20383717,-0.090434074,-0.00092494604,0.022698909,0.24845305
635033966757645,0.17554559,-0.15877047,0.006381035,0.018209623,0.015423892,0.2204543
635034130302183,-0.11039579,-0.1762296,-0.30314922,0.03989789,-0.006455357,0.1809561
635034293839836,-0.95260286,-0.52838254,-0.98107624,0.057681065,-0.041299954,0.13903368
635034457310797,-0.5273791,-0.2568355,2.1258316,0.0024193318,-0.068874426,0.092893295
635034620808758,-0.95418966,-0.21250498,0.31581783,0.036830235,-0.062301695,-0.0016389948
635034784352757,-1.0638078,0.23325193,0.27957153,0.048782766,-0.053303562,-0.09329903
635034947894641,-0.8716812,-0.47952628,-0.466856,0.053991377,-0.04831843,-0.17729396
635035111395871,-2.1503272,-0.9521156,0.45275307,0.06314582,-0.037368152,-0.26017046
635035274888755,-2.3802214,0.010734439,-0.3027382,0.087788716,-0.013161635,-0.30729386
635035438355524,-2.3153582,-0.82673204,0.5742922,0.08480371,-0.045492806,-0.32956785
635035601872215,-1.9498048,-1.2925794,0.1607542,0.08367748,-0.028775845,-0.303777
635035765346292,-0.6022464,-0.3718661,-0.3414421,0.09843081,-0.0015166254,-0.21396662
635035928854791,0.46115106,-0.4543078,0.38521767,0.09649517,0.017876513,-0.09685913
635036092289329,0.9299455,-0.70673096,0.50168514,0.10701843,0.042388096,0.027813822
635036255755905,1.2639575,-0.7237463,-0.03731823,0.104631536,0.074713714,0.1609985
635036419202135,1.9740022,-0.3202312,-0.52286243,0.090217404,0.06982197,0.24515174
635036582709789,1.1104586,0.22994626,-0.102199554,0.07077262,0.049757432,0.27795208
635036746216788,0.08592689,-0.14236939,0.69048405,0.0480727,0.04054462,0.27185518
635036909726787,-0.40714347,-0.16018093,0.9914694,0.023314768,0.070451096,0.27712336
635037073252402,2.065358,-0.5440867,0.0042295456,0.039968196,0.07218007,0.31172344
635037236763978,1.6627667,0.53131807,-1.2229662,0.05535435,0.080507025,0.3373886
635037400244785,0.075115524,-0.21825778,0.37499905,0.056056917,0.021778371,0.314919
635037563742016,-0.38268715,-0.28599417,0.2677927,0.04653575,0.011639633,0.2592151
635037727229592,-1.610434,-0.14822793,0.95229053,0.06104021,-0.005251941,0.20317376
635037890721861,-2.4682064,0.28084958,-0.61016464,0.07663751,0.0020591982,0.14582081
635038054186475,-0.9897837,0.4134456,-1.0031576,0.08029486,0.0048046485,0.12667346
