Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
656550678383847,-0.01666769,-0.0035269335,0.09639263,-0.005641723,4.6228593e-05,-0.18032716
656550694766193,-0.009327756,-0.0058081746,0.11075878,-0.005645941,5.514303e-05,-0.1803247
656550719336693,-0.00033632666,0.013853207,0.11076546,-0.0056767887,3.0495918e-05,-0.18033184
656550743881539,-0.015167312,-0.0075977445,0.10119057,-0.005685929,7.983799e-06,-0.18032427
656550752067578,0.0014257971,-0.00041600317,0.098796844,-0.0056874156,-3.6461756e-07,-0.1803242
656550776647231,-0.006172889,0.004217379,0.117949486,-0.0056834663,-2.260056e-05,-0.18033397
656550801184462,0.018274235,-0.010446057,0.09879112,-0.0056638657,1.7848466e-08,-0.18033901
656550825734154,-0.013491185,-0.017283529,0.110767365,-0.0056870673,-2.8903278e-05,-0.18034622
656550842095500,-0.0061598076,-0.005311504,0.11555576,-0.00568575,-2.1475165e-05,-0.18033892
656550858494808,-0.008603748,0.011595391,0.11316395,-0.0056936042,-2.2613256e-05,-0.18033892
656550874863577,0.00068105385,0.011692353,0.10598278,-0.0057011526,-3.6380658e-05,-0.18033634
656550899423615,-0.017139181,0.01437673,0.09641075,-0.005725459,-8.690131e-05,-0.18033847
656550915776346,-0.008493575,-0.0118121505,0.10599136,-0.005741412,-0.00013227655,-0.18033333
656550940322808,0.01637305,-0.0019406527,0.11796951,-0.0057697026,-0.00020331416,-0.1803255
656550956710654,-0.0075715426,0.005194381,0.11078644,-0.005767341,-0.00020386641,-0.18032792
656550973081769,-0.0072779097,0.002849117,0.10120964,-0.005767095,-0.00018867572,-0.18033047
656551005821461,-0.0023397282,-0.004826151,0.10599136,-0.0057410086,-0.00018573654,-0.18032318
656551030400807,-0.0046351086,-0.004975602,0.10359669,-0.0057326043,-0.00018215488,-0.18032317
656551054929769,0.0051356982,-0.0052201375,0.105986595,-0.0057185567,-0.00017467371,-0.18032321
656551078511307,-0.0040125437,-0.055735685,0.13471317,-0.005702716,-0.00015532656,-0.18032946
656551094876192,-1.4888185,0.5172323,0.113101006,-0.005394063,0.00038674765,-0.18013304
656551127639268,0.062067173,0.075668365,0.10348225,-0.0051070657,0.0009897023,-0.1689188
656551152193076,-0.20364371,0.10063725,0.12504005,-0.0051877424,0.0008268223,-0.15870015
